client_name,client_version,sessions,converted_sessions,unconverted_sessions,conversion_rate_pct,matched_tool_calls
Anthropic/ClaudeAI,1.0.0,7621549,32042,7589507,0.42,156957
mcp,0.1.0,1320269,33256,1287013,2.519,100132
claude-code,2.1.119,1156582,1879,1154703,0.162,12933
claude-code,2.1.126,943740,1709,942031,0.181,12044
claude-code,2.1.114,756336,1409,754927,0.186,8954
claude-code,2.1.104,650938,888,650050,0.136,6710
claude-code,2.1.143,637509,1499,636010,0.235,12612
claude-code,2.1.138,630675,1216,629459,0.193,8468
claude-code,2.1.150,594623,1800,592823,0.303,12590
chat-ui-mcp,0.1.0,519874,51571,468303,9.92,124352
claude-code,2.1.92,509578,845,508733,0.166,6290
openai-mcp,1.0.0,503180,466296,36884,92.67,470845
claude-ai,0.1.0,501957,18431,483526,3.672,18643
claude-code,2.1.123,491144,991,490153,0.202,6313
claude-code,2.1.112,487818,952,486866,0.195,6481
Anthropic,1.0.0,472788,0,472788,0.0,0
claude-code,2.1.101,419847,796,419051,0.19,6013
claude-code,2.1.118,405439,517,404922,0.128,3583
claude-code,2.1.122,402594,140,402454,0.035,991
claude-code,2.1.116,393828,600,393228,0.152,4027
claude-code,2.1.132,377488,499,376989,0.132,3694
claude-code,2.1.128,376261,582,375679,0.155,3764
claude-code,2.1.81,364535,157,364378,0.043,1296
claude-code,2.1.145,357443,959,356484,0.268,6286
claude-code,2.1.139,357326,586,356740,0.164,3838
claude-code,2.1.121,345039,498,344541,0.144,4196
claude-code,2.1.142,331308,611,330697,0.184,4576
docker-mcp-gateway,1.0.0,323269,7462,315807,2.308,42345
claude-code,2.1.141,321949,466,321483,0.145,2728
claude-code,2.1.117,316255,583,315672,0.184,3893
claude-code,2.1.109,270103,515,269588,0.191,3521
codex-mcp-client,0.118.0-alpha.2,269266,470,268796,0.175,2578
claude-code,2.1.140,268968,634,268334,0.236,4147
codex-mcp-client,0.119.0-alpha.11,255598,368,255230,0.144,1994
cursor-vscode,1.0.0,233012,994,232018,0.427,6446
mcp-remote-fallback-test,0.0.0,232933,0,232933,0.0,0
claude-code,2.1.97,226225,444,225781,0.196,3298
claude-code,2.1.133,224790,385,224405,0.171,2814
claude-code,2.1.107,220649,315,220334,0.143,2355
claude-code,2.1.96,219129,456,218673,0.208,4274
claude-code,2.1.137,218318,80,218238,0.037,661
claude-code,2.1.144,204663,548,204115,0.268,3809
claude-code,2.1.152,202861,496,202365,0.245,3662
claude-code,2.1.111,202376,234,202142,0.116,1760
claude-code,2.1.158,197210,789,196421,0.4,6260
claude-code,2.1.100,189552,287,189265,0.151,2300
claude-code,2.1.156,180157,633,179524,0.351,4392
claude-code,2.1.105,174327,168,174159,0.096,1151
claude-code,2.1.110,173139,304,172835,0.176,2173
claude-code,2.1.98,172471,296,172175,0.172,2444
claude-code,2.1.131,171034,498,170536,0.291,2388
claude-code,2.1.148,161540,366,161174,0.227,3461
claude-code,2.1.146,159797,328,159469,0.205,2667
codex-mcp-client,0.119.0-alpha.28,156063,883,155180,0.566,5578
claude-code,2.1.89,145669,151,145518,0.104,1463
claude-code,2.1.153,133756,338,133418,0.253,2616
claude-code,2.1.120,119942,332,119610,0.277,2473
claude-code,2.1.90,118023,79,117944,0.067,693
claude-code,2.1.113,113529,239,113290,0.211,1889
claude-code,2.1.108,109987,170,109817,0.155,1171
sheet-add-in,1.0.0,101713,11,101702,0.011,47
claude-code,2.1.87,93848,299,93549,0.319,1044
ms-mcp-catalog-client,1.0.0,87610,4,87606,0.005,9
claude-code,2.1.75,85954,77,85877,0.09,131
claude-code,2.1.129,83326,152,83174,0.182,1054
claude-code,2.1.136,81438,140,81298,0.172,907
claude-code,2.1.94,78619,148,78471,0.188,1139
claude-code,2.1.154,77301,228,77073,0.295,2299
claude-code,2.1.149,71644,164,71480,0.229,1502
codex-mcp-client,0.118.0,70533,183,70350,0.259,1170
gemini-cli-mcp-client (via mcp-remote 0.1.37),unknown,68995,0,68995,0.0,0
claude-code,2.1.91,64258,139,64119,0.216,1083
claude-code,2.1.85,63852,67,63785,0.105,567
claude-code,2.1.76,59229,81,59148,0.137,362
claude-code,2.1.84,56778,80,56698,0.141,930
claude-code,2.1.157,53218,177,53041,0.333,1386
lmstudio-mcp-server-session,1.0.0,53117,2056,51061,3.871,10402
claude-code,2.1.147,50946,135,50811,0.265,1067
mcp (via mcp-remote 0.1.16),0.1.0,47576,14842,32734,31.196,74083
codex-mcp-client,0.120.0,45793,202,45591,0.441,1049
codex-mcp-client,0.133.0-alpha.1,45261,95,45166,0.21,468
claude-code,2.1.71,44206,104,44102,0.235,622
Anthropic/Toolbox,1.0.0,41856,31,41825,0.074,102
codex-mcp-client,0.131.0-alpha.9,41737,57,41680,0.137,330
claude-code,2.1.86,40925,57,40868,0.139,358
codex-mcp-client,0.130.0-alpha.5,39080,86,38994,0.22,489
codex-mcp-client,0.128.0-alpha.1,38659,64,38595,0.166,326
Cursor MCP Availability,1.0.0,32698,0,32698,0.0,0
mcpdd,0.1.0,30988,0,30988,0.0,0
claude-code,2.1.80,29950,23,29927,0.077,169
claude-code,2.1.78,29797,35,29762,0.117,295
mcp-health-checker,1.0.0,27993,0,27993,0.0,0
claude-code,2.1.88,26888,46,26842,0.171,292
claude-code,2.1.83,26572,47,26525,0.177,326
codex-mcp-client,0.133.0,23469,78,23391,0.332,585
gemini-cli-mcp-client,unknown,22710,0,22710,0.0,0
mcporter,0.8.1,22016,97,21919,0.441,98
Cursor,1.0.0,21870,103,21767,0.471,257
SearchWebRole.AspNetCore,1.0.0.0,19884,9448,10436,47.516,9639
claude-code,2.1.63,19449,27,19422,0.139,268
hydra-codex-mcp-preflight,0.1.0,19236,0,19236,0.0,0
claude-code,2.1.72,17939,23,17916,0.128,161
antigravity-client,v1.0.0,17338,138,17200,0.796,708
claude-code,2.1.59,17337,13,17324,0.075,27
codex-mcp-client,0.0.0,17117,6,17111,0.035,18
claude-code,2.1.74,16370,16,16354,0.098,109
tfy-llm-gateway-client,1.0.0,16310,15225,1085,93.348,54103
ConversationalAI,2026.5.0.21381,15233,0,15233,0.0,0
claude-code,2.1.77,15215,22,15193,0.145,90
claude-code,2.1.159,14618,29,14589,0.198,112
claude-code,2.1.37,14538,6,14532,0.041,39
ConversationalAI,2026.3.1.16857,14514,11,14503,0.076,13
claude-code,2.1.25,14436,0,14436,0.0,0
codex-mcp-client,0.130.0,14303,96,14207,0.671,1147
claude-code,2.1.79,13529,33,13496,0.244,202
roder-backend,0.1.0,13429,0,13429,0.0,0
codex-mcp-client,0.125.0,12495,60,12435,0.48,452
mcp (via mcp-remote 0.1.37),0.1.0,12464,1404,11060,11.264,8277
codex-mcp-client,0.114.0,12108,6,12102,0.05,11
codex-mcp-client,0.135.0-alpha.1,11819,14,11805,0.118,103
claude-code,2.1.31,11346,3,11343,0.026,28
ConversationalAI,2026.4.1.20288,11331,0,11331,0.0,0
claude-code,2.1.56,11258,2,11256,0.018,3
codex-mcp-client,0.128.0,11114,88,11026,0.792,745
workglow-mcp-client,1.0.0,10932,0,10932,0.0,0
mcpproxy-go,1.0.0,10451,5,10446,0.048,31
claude-code,2.1.19,10104,8,10096,0.079,28
claude-code,2.1.38,10065,8,10057,0.079,45
openclaw-bundle-mcp,0.0.0,10020,109,9911,1.088,421
claude-code,2.1.50,9909,9,9900,0.091,155
claude-code,2.1.69,9809,11,9798,0.112,45
claude-code,2.1.29,9099,7,9092,0.077,29
ConversationalAI,2026.3.1.18910,8432,0,8432,0.0,0
chat-ui-health-check,1.0.0,8391,0,8391,0.0,0
claude-code,2.1.42,8311,2,8309,0.024,50
codex-mcp-client,0.129.0-alpha.15,8222,31,8191,0.377,101
codex-mcp-client,0.121.0,8150,41,8109,0.503,182
codex-mcp-client,0.122.0-alpha.1,8095,23,8072,0.284,73
ToolServer,1.0.0.0,7916,719,7197,9.083,720
codex-mcp-client,0.125.0-alpha.3,7837,35,7802,0.447,149
codex-mcp-client (via mcp-remote 0.1.37),0.128.0-alpha.1,7816,7,7809,0.09,113
ConversationalAI,2026.5.0.21353,7680,3,7677,0.039,4
codex-mcp-client (via mcp-remote 0.1.37),0.131.0-alpha.9,7665,14,7651,0.183,367
codex-mcp-client (via mcp-remote 0.1.37),0.130.0-alpha.5,7593,16,7577,0.211,99
claude-code,2.1.32,7479,3,7476,0.04,16
ai-sdk-mcp-client,1.0.0,7445,35,7410,0.47,78
ConversationalAI,2026.4.1.20681,7304,3,7301,0.041,3
claude-code,2.1.30,7171,0,7171,0.0,0
ConversationalAI,2026.3.1.19590,7106,0,7106,0.0,0
claude-code,2.1.39,7071,17,7054,0.24,72
claude-code,2.1.45,6792,7,6785,0.103,15
Mistral,1.0.0,6693,0,6693,0.0,0
claude-code,2.1.62,6568,22,6546,0.335,135
ConversationalAI,2026.3.1.20018,6473,0,6473,0.0,0
codex-mcp-client,0.126.0-alpha.8,6342,13,6329,0.205,29
claude-code,2.1.34,6333,4,6329,0.063,19
Smithery Connect,1.0.0,6284,9,6275,0.143,122
ConversationalAI,2026.5.0.22865,6093,0,6093,0.0,0
codex-mcp-client,0.122.0-alpha.13,6010,12,5998,0.2,119
claude-ai (via mcp-remote 0.1.37),0.1.0,5774,21,5753,0.364,123
Windsurf,1.0.0,5609,110,5499,1.961,563
llama-webui-mcp,1.0.0,5531,110,5421,1.989,408
ConversationalAI,2026.3.1.18446,5518,0,5518,0.0,0
mcp-gateway-registry,1.0.0,5414,0,5414,0.0,0
ConversationalAI,2026.5.1.24501,5258,0,5258,0.0,0
ConversationalAI,2026.5.1.23633,5227,1,5226,0.019,1
platform-catalog,1.0.0,5202,0,5202,0.0,0
