week_start,week_end,client_family,mcp_remote_share_pct,usage_index_0_100,mcp_remote_requests,total_requests
2025-06-30,2025-07-06,Claude Code,45.6522,0.0361,420,920
2025-07-07,2025-07-13,Claude Code,20.8286,0.0691,367,1762
2025-07-14,2025-07-20,Claude Code,13.9542,0.1301,463,3318
2025-07-21,2025-07-27,Claude Code,20.5397,0.1046,548,2668
2025-07-21,2025-07-27,OpenCode,0.0,0.0789,0,3
2025-07-28,2025-08-03,Claude Code,25.4357,0.1058,686,2697
2025-08-04,2025-08-10,Claude Code,33.8832,0.1141,986,2910
2025-08-11,2025-08-17,Claude Code,26.4989,0.1059,716,2702
2025-08-18,2025-08-24,Claude Code,19.9849,0.1562,796,3983
2025-08-18,2025-08-24,Codex,100.0,0.0039,29,29
2025-08-25,2025-08-31,Claude Code,8.9135,0.1909,434,4869
2025-08-25,2025-08-31,Codex,100.0,0.0096,71,71
2025-09-01,2025-09-07,Claude Code,1.3818,0.8201,289,20915
2025-09-01,2025-09-07,Codex,100.0,0.0153,113,113
2025-09-01,2025-09-07,OpenCode,41.3793,0.7626,12,29
2025-09-08,2025-09-14,Claude Code,4.4915,0.3867,443,9863
2025-09-08,2025-09-14,Codex,85.8156,0.019,121,141
2025-09-08,2025-09-14,OpenCode,7.2727,1.4462,4,55
2025-09-15,2025-09-21,Claude Code,2.8205,0.2447,176,6240
2025-09-15,2025-09-21,Codex,100.0,0.024,178,178
2025-09-15,2025-09-21,OpenCode,25.8065,0.8151,8,31
2025-09-22,2025-09-28,Claude Code,1.9878,0.2959,150,7546
2025-09-22,2025-09-28,Codex,100.0,0.0288,213,213
2025-09-22,2025-09-28,OpenCode,50.9804,1.341,26,51
2025-09-29,2025-10-05,Claude Code,4.5252,0.2816,325,7182
2025-09-29,2025-10-05,Codex,100.0,0.0228,169,169
2025-09-29,2025-10-05,OpenCode,11.1111,0.71,3,27
2025-10-06,2025-10-12,Claude Code,6.8546,0.274,479,6988
2025-10-06,2025-10-12,Codex,80.8163,0.0331,198,245
2025-10-06,2025-10-12,OpenCode,7.6087,2.4191,7,92
2025-10-13,2025-10-19,Claude Code,4.0043,0.5797,592,14784
2025-10-13,2025-10-19,Codex,74.5495,0.0599,331,444
2025-10-13,2025-10-19,OpenCode,7.947,3.9705,12,151
2025-10-20,2025-10-26,Claude Code,7.1925,0.2595,476,6618
2025-10-20,2025-10-26,Codex,82.0,0.0405,246,300
2025-10-20,2025-10-26,OpenCode,30.4348,1.2096,14,46
2025-10-27,2025-11-02,Claude Code,6.3919,0.2816,459,7181
2025-10-27,2025-11-02,Codex,83.7398,0.0498,309,369
2025-10-27,2025-11-02,OpenCode,20.7207,2.9187,23,111
2025-11-03,2025-11-09,Claude Code,4.5598,0.3362,391,8575
2025-11-03,2025-11-09,Codex,86.2647,0.0806,515,597
2025-11-03,2025-11-09,OpenCode,11.236,2.3403,10,89
2025-11-10,2025-11-16,Claude Code,3.1377,0.3462,277,8828
2025-11-10,2025-11-16,Codex,61.4699,0.0606,276,449
2025-11-10,2025-11-16,OpenCode,19.403,1.7618,13,67
2025-11-17,2025-11-23,Claude Code,3.402,0.3446,299,8789
2025-11-17,2025-11-23,Codex,51.9393,0.0801,308,593
2025-11-17,2025-11-23,OpenCode,10.8108,0.9729,4,37
2025-11-24,2025-11-30,Claude Code,3.8193,0.3029,295,7724
2025-11-24,2025-11-30,Codex,65.6667,0.081,394,600
2025-11-24,2025-11-30,OpenCode,0.3106,8.467,1,322
2025-12-01,2025-12-07,Claude Code,3.4399,0.3226,283,8227
2025-12-01,2025-12-07,Codex,46.4912,0.0616,212,456
2025-12-01,2025-12-07,OpenCode,4.5213,9.8869,17,376
2025-12-08,2025-12-14,Claude Code,3.9737,0.3582,363,9135
2025-12-08,2025-12-14,Codex,50.9302,0.0581,219,430
2025-12-08,2025-12-14,OpenCode,1.8018,11.675,8,444
