day,sessions,converted_sessions,unconverted_sessions,conversion_rate_pct,matched_tool_calls
2026-04-07,314821,4169,310652,1.324,10256
2026-04-08,589737,8662,581075,1.469,23345
2026-04-09,644458,8511,635947,1.321,22026
2026-04-10,608635,7393,601242,1.215,19561
2026-04-11,470483,6647,463836,1.413,21228
2026-04-12,643160,7443,635717,1.157,19840
2026-04-13,687886,7750,680136,1.127,30836
2026-04-14,634645,7722,626923,1.217,23297
2026-04-15,614895,7394,607501,1.202,24600
2026-04-16,582299,9351,572948,1.606,22717
2026-04-17,577521,9564,567957,1.656,19140
2026-04-18,568282,7848,560434,1.381,15900
2026-04-19,522448,7922,514526,1.516,28382
2026-04-20,614289,10367,603922,1.688,21414
2026-04-21,554452,11376,543076,2.052,22870
2026-04-22,575411,12025,563386,2.09,27095
2026-04-23,595175,11647,583528,1.957,27748
2026-04-24,639929,11860,628069,1.853,24121
2026-04-25,509405,11264,498141,2.211,23264
2026-04-26,536579,10788,525791,2.011,26232
2026-04-27,584984,12452,572532,2.129,23867
2026-04-28,594252,12927,581325,2.175,25993
2026-04-29,605237,11511,593726,1.902,24643
2026-04-30,613113,12106,601007,1.975,25980
2026-05-01,606484,11852,594632,1.954,29054
2026-05-02,573817,10609,563208,1.849,22708
2026-05-03,581394,11781,569613,2.026,23264
2026-05-04,684317,10822,673495,1.581,23295
2026-05-05,662731,13357,649374,2.015,26652
2026-05-06,673312,14255,659057,2.117,27379
2026-05-07,613965,16547,597418,2.695,30446
2026-05-08,582230,15758,566472,2.706,29663
2026-05-09,522930,14782,508148,2.827,26636
2026-05-10,548396,13059,535337,2.381,24091
2026-05-11,644907,18384,626523,2.851,32007
2026-05-12,627195,17519,609676,2.793,34368
2026-05-13,625660,16677,608983,2.666,41821
2026-05-14,710411,15160,695251,2.134,24151
2026-05-15,544141,15998,528143,2.94,26936
2026-05-16,522134,14374,507760,2.753,24372
2026-05-17,494417,15267,479150,3.088,27416
2026-05-18,580385,20414,559971,3.517,30895
2026-05-19,561519,17215,544304,3.066,27792
2026-05-20,589792,16876,572916,2.861,27200
2026-05-21,571400,17542,553858,3.07,30042
2026-05-22,586165,17111,569054,2.919,26543
2026-05-23,448294,13720,434574,3.06,32241
2026-05-24,461020,16302,444718,3.536,25248
2026-05-25,516295,19297,496998,3.738,30237
2026-05-26,560540,19705,540835,3.515,32202
2026-05-27,576188,20301,555887,3.523,32359
2026-05-28,615798,19602,596196,3.183,34692
2026-05-29,614087,17690,596397,2.881,33363
2026-05-30,513543,17036,496507,3.317,30514
2026-05-31,465526,17606,447920,3.782,29534
