client_name,sessions,converted_sessions,unconverted_sessions,conversion_rate_pct,matched_tool_calls,distinct_versions
claude-code,17641870,31875,17609995,0.181,228218,273
Anthropic/ClaudeAI,7621549,32042,7589507,0.42,156957,1
mcp,1320271,33256,1287015,2.519,100132,2
codex-mcp-client,1146476,3058,1143418,0.267,18606,86
chat-ui-mcp,519874,51571,468303,9.92,124352,1
openai-mcp,503180,466296,36884,92.67,470845,1
claude-ai,501957,18431,483526,3.672,18643,1
Anthropic,472788,0,472788,0.0,0,1
docker-mcp-gateway,323269,7462,315807,2.308,42345,1
cursor-vscode,233012,994,232018,0.427,6446,1
mcp-remote-fallback-test,232933,0,232933,0.0,0,1
ConversationalAI,166065,19,166046,0.011,22,240
sheet-add-in,101713,11,101702,0.011,47,1
ms-mcp-catalog-client,87610,4,87606,0.005,9,1
gemini-cli-mcp-client (via mcp-remote 0.1.37),69275,15,69260,0.022,36,18
codex-mcp-client (via mcp-remote 0.1.37),63472,209,63263,0.329,1784,55
lmstudio-mcp-server-session,53117,2056,51061,3.871,10402,1
mcp (via mcp-remote 0.1.16),47576,14842,32734,31.196,74083,1
Anthropic/Toolbox,41856,31,41825,0.074,102,1
gemini-cli-mcp-client,41739,319,41420,0.764,1158,66
Cursor MCP Availability,32698,0,32698,0.0,0,1
mcpdd,30988,0,30988,0.0,0,1
mcp-health-checker,27993,0,27993,0.0,0,1
factory-cli,26721,44,26677,0.165,272,85
opencode,25269,20653,4616,81.733,41703,157
mcporter,23438,142,23296,0.606,143,12
Cursor,21870,103,21767,0.471,257,1
SearchWebRole.AspNetCore,19884,9448,10436,47.516,9639,1
hydra-codex-mcp-preflight,19236,0,19236,0.0,0,1
antigravity-client,17338,138,17200,0.796,708,1
tfy-llm-gateway-client,16310,15225,1085,93.348,54103,1
roder-backend,13429,0,13429,0.0,0,1
mcp (via mcp-remote 0.1.37),12464,1404,11060,11.264,8277,1
Visual Studio Code,10996,1347,9649,12.25,7641,44
workglow-mcp-client,10932,0,10932,0.0,0,1
mcpproxy-go,10451,5,10446,0.048,31,1
openclaw-bundle-mcp,10020,109,9911,1.088,421,1
chat-ui-health-check,8391,0,8391,0.0,0,1
ToolServer,7916,719,7197,9.083,720,1
ai-sdk-mcp-client,7445,35,7410,0.47,78,1
github-copilot-developer,7438,99,7339,1.331,545,72
Mistral,6693,0,6693,0.0,0,1
Smithery Connect,6284,9,6275,0.143,122,1
claude-code (via mcp-remote 0.1.37),6242,185,6057,2.964,1020,71
claude-ai (via mcp-remote 0.1.37),5774,21,5753,0.364,123,1
Windsurf,5609,110,5499,1.961,563,1
llama-webui-mcp,5531,110,5421,1.989,408,1
mcp-gateway-registry,5414,0,5414,0.0,0,1
platform-catalog,5202,0,5202,0.0,0,1
antigravity-client (via mcp-remote 0.1.37),5082,33,5049,0.649,194,1
Java SDK MCP Client,4430,526,3904,11.874,657,2
assistant-cortex-api,4417,1,4416,0.023,2,1
mocop-gateway-go,4374,23,4351,0.526,23,4
openclaw-bundle-mcp (via mcp-remote 0.1.37),4105,2,4103,0.049,3,1
Cherry Studio,4032,45,3987,1.116,298,26
glama,4027,0,4027,0.0,0,1
GleanClient,3676,3,3673,0.082,3,1
amp-mcp-client,3400,17,3383,0.5,75,1
solo-router,3353,0,3353,0.0,0,1
rush-probe,3282,0,3282,0.0,0,1
