client,all_calls,valid_calls,modern_calls,period_modern_contribution_share,last7_days,last7_valid_calls,last7_modern_calls,last7_share
Anthropic/ClaudeAI,288532,288532,181224,0.25530188408124627,7,39967,39697,0.9932444266519879
Anthropic/ClaudeDesign,768,768,0,0.0,7,53,0,
Cursor,30240,30240,0,0.0,7,6800,0,0.0
Gemini,515,515,0,0.0,7,19,0,
Manus,5900,5900,0,0.0,7,786,0,0.0
Other,105590,105512,11127,0.015675319296406805,7,11556,1975,0.17090688819660782
Visual Studio Code,3283,3283,0,0.0,7,432,0,0.0
antigravity-client,1291,1291,1251,0.001762364019035222,7,420,420,1.0
chat-ui-intern,17402,17402,17402,0.02451531467566022,7,17158,17158,1.0
chat-ui-mcp,117550,117550,78426,0.11048374145232319,7,40991,40991,1.0
claude-ai,22,22,17,2.3948991465706452e-05,7,7,7,
claude-code,485206,485206,226374,0.31890758788575485,7,71971,68541,0.9523419154937406
codex-mcp-client,20275,20275,0,0.0,7,1200,0,0.0
connectors-manager,2016,2016,0,0.0,7,88,0,
cursor-vscode,46076,46076,0,0.0,7,6818,0,0.0
github-copilot-developer,487,487,7,9.861349427055598e-06,7,42,0,
grok-shell-huggingface,1500,1500,105,0.00014792024140583397,7,195,105,0.5384615384615384
llama-ui-mcp,25445,25445,0,0.0,7,2699,0,0.0
lmstudio-mcp-server-session,8062,8062,0,0.0,7,851,0,0.0
mcp,56720,56720,306,0.0004310818463827162,7,10273,111,0.010805022875498881
mcp (via mcp-remote),470819,470819,0,0.0,7,83936,0,0.0
openai-mcp,417495,417495,181133,0.25517368653869454,7,75594,21468,0.283990792920073
openai-mcp (Codex),79521,79521,11910,0.01677838166803317,7,17313,2615,0.15104256916767747
opencode,18455,18455,64,9.016090904736548e-05,7,2244,0,0.0
unknown,155,129,20,2.8175284077301708e-05,7,38,0,
zcode,513,513,476,0.0006705717610397807,7,66,66,
