date,claude_calls,claude_failures,claude_rate,others_calls,others_failures,others_rate,coverage_pct,leading_claude_version
2026-08-25,4166,60,1.4402304368698993,9539,375,3.9312296886466087,98.44131590288751,2.1.245
2026-08-26,6282,80,1.2734797835084368,8535,384,4.499121265377856,98.35380019913707,2.1.246
2026-08-27,6943,114,1.6419415238369581,9973,477,4.782913867442094,98.49199417758369,2.1.247
2026-08-28,6597,95,1.4400485068970745,9991,436,4.363927534781303,98.70871764355846,2.1.250
2026-08-29,5491,86,1.5661992351120015,7370,273,3.704206241519674,98.48380427291524,2.1.251
2026-08-30,5250,77,1.4666666666666666,9034,702,7.770644232897941,98.44245348035837,2.1.251
2026-08-31,5669,81,1.4288234256482626,9743,479,4.916350200143693,98.3535417996171,2.1.251
2026-09-01,6016,79,1.3131648936170213,11574,549,4.743390357698289,98.78137810973213,2.1.252
2026-09-02,7459,101,1.3540689100415606,11244,462,4.108858057630736,98.79562622154138,2.1.258
2026-09-03,6872,99,1.440628637951106,14166,512,3.61428773118735,98.94647728341643,2.1.259
2026-09-04,6929,92,1.3277529224996392,11407,429,3.760848601735776,98.36909871244636,2.1.260
2026-09-05,6128,87,1.4197127937336815,10676,387,3.624953165979768,98.91688250529786,2.1.261
2026-09-06,7291,96,1.3166918118227953,12429,477,3.837798696596669,98.91157145006771,2.1.263
2026-09-07,6834,107,1.565700907228563,13800,518,3.753623188405797,99.01151631477927,2.1.263
2026-09-08,6244,91,1.4573991031390134,12096,435,3.5962301587301586,99.1512137103314,2.1.263
2026-09-09,5443,120,2.204666544185192,12439,554,4.45373422300828,98.74647965100226,2.1.266
2026-09-10,7804,181,2.319323423885187,13696,628,4.585280373831775,99.11488106214273,2.1.267
2026-09-11,5923,87,1.4688502448083742,11912,663,5.5658159838818,98.90749778172139,2.1.268
2026-09-12,5280,104,1.9696969696969697,16849,617,3.6619383939699683,99.36239953302501,2.1.269
2026-09-13,6632,85,1.281664656212304,11683,612,5.2383805529401695,98.93582541054451,2.1.270
