week_start,week_end,mcp_remote_share_pct,usage_index_0_100,mcp_remote_requests,total_requests,fallback_excluded_requests
2025-06-09,2025-06-15,16.6702,0.4447,3103,18614,3274
2025-06-16,2025-06-22,8.0352,0.7745,2605,32420,2711
2025-06-23,2025-06-29,7.1146,1.3764,4099,57614,4236
2025-06-30,2025-07-06,10.1201,1.1556,4895,48369,5125
2025-07-07,2025-07-13,5.6525,1.8436,4362,77169,4561
2025-07-14,2025-07-20,6.0428,2.1515,5442,90057,6072
2025-07-21,2025-07-27,6.1912,1.8731,4854,78401,5917
2025-07-28,2025-08-03,8.4519,1.3701,4847,57348,5763
2025-08-04,2025-08-10,3.7597,3.2713,5148,136926,5986
2025-08-11,2025-08-17,0.5624,22.8233,5373,955319,6212
2025-08-18,2025-08-24,0.4236,36.2975,6436,1519312,7308
2025-08-25,2025-08-31,0.7141,21.6785,6480,907402,7003
2025-09-01,2025-09-07,1.7441,11.3872,8313,476636,8841
2025-09-08,2025-09-14,1.7814,11.8583,8842,496356,9594
2025-09-15,2025-09-21,1.6504,12.0799,8345,505631,8885
2025-09-22,2025-09-28,1.3216,13.3537,7387,558949,8185
2025-09-29,2025-10-05,1.3594,17.4953,9955,732305,10579
2025-10-06,2025-10-12,1.3592,16.8598,9592,705705,10017
2025-10-13,2025-10-19,1.0415,19.3652,8442,810573,8822
2025-10-20,2025-10-26,0.6909,22.1937,6418,928966,6657
2025-10-27,2025-11-02,0.5264,24.9452,5496,1044139,6015
2025-11-03,2025-11-09,0.4194,25.3815,4456,1062400,4787
2025-11-10,2025-11-16,0.4395,19.3233,3555,808821,4008
2025-11-17,2025-11-23,0.3562,20.2534,3020,847753,3335
2025-11-24,2025-11-30,0.3372,21.3487,3013,893597,3389
2025-12-01,2025-12-07,0.5084,23.7881,5062,995705,6564
2025-12-08,2025-12-14,0.2746,25.4638,2927,1065846,4133
2025-12-15,2025-12-21,0.5325,26.4422,5894,1106800,6211
2025-12-22,2025-12-28,0.324,25.1551,3411,1052925,3584
2025-12-29,2026-01-04,0.259,26.071,2826,1091261,2961
2026-01-05,2026-01-11,0.32,28.9726,3881,1212714,4027
2026-01-12,2026-01-18,0.3937,30.9878,5106,1297065,5323
2026-01-19,2026-01-25,0.6513,38.6516,10537,1617852,10711
2026-01-26,2026-02-01,0.7202,43.5598,13131,1823295,13324
2026-02-02,2026-02-08,0.6455,47.2443,12764,1977517,13169
2026-02-09,2026-02-15,0.5878,55.4553,13643,2321205,13886
2026-02-16,2026-02-22,0.6639,58.0267,16125,2428837,16410
2026-02-23,2026-03-01,0.888,54.546,20275,2283145,20653
2026-03-02,2026-03-08,0.8696,58.4263,21266,2445565,21776
2026-03-09,2026-03-15,1.2465,46.4605,24240,1944709,24761
2026-03-16,2026-03-22,1.0554,47.424,20951,1985038,21411
2026-03-23,2026-03-29,1.0029,69.9312,29355,2927128,30138
2026-03-30,2026-04-05,0.4224,84.1147,14873,3520809,15572
2026-04-06,2026-04-12,0.3144,98.7667,12999,4134105,13518
2026-04-13,2026-04-19,0.4437,99.8649,18545,4180073,18965
2026-04-20,2026-04-26,0.6103,95.9172,24503,4014831,25057
2026-04-27,2026-05-03,1.279,97.0647,51963,4062864,52369
2026-05-04,2026-05-10,1.2394,100.0,51877,4185726,52187
2026-05-11,2026-05-17,0.6255,99.1806,25968,4151430,26690
2026-05-18,2026-05-24,0.6288,89.0583,23439,3727736,24076
2026-05-25,2026-05-31,0.5653,84.8464,20077,3551439,20497
